facility_id,alert_type,severity,message,created_date,status,assigned_to
F0004_02,Default,Critical,"Facility F0004_02 has defaulted (Rating 17) - SIR: $4,825,059.42",2022-06-30,Active,Manager 2
F0004_02,Default,Critical,"Facility F0004_02 has defaulted (Rating 17) - SIR: $2,499,050.58",2022-09-30,Active,Manager 2
F0010_02,Default,Critical,"Facility F0010_02 has defaulted (Rating 17) - SIR: $5,421,978.89",2022-03-31,Active,Manager 1
F0010_02,Default,Critical,"Facility F0010_02 has defaulted (Rating 17) - SIR: $3,707,408.63",2022-06-30,Active,Manager 2
F0028_03,Default,Critical,"Facility F0028_03 has defaulted (Rating 17) - SIR: $2,328,527.68",2024-03-31,Active,Manager 1
F0028_03,Default,Critical,"Facility F0028_03 has defaulted (Rating 17) - SIR: $2,189,167.20",2024-06-30,Active,Manager 2
F0031_01,Default,Critical,"Facility F0031_01 has defaulted (Rating 17) - SIR: $3,264,027.34",2024-03-31,Active,Manager 2
F0031_01,Default,Critical,"Facility F0031_01 has defaulted (Rating 17) - SIR: $1,417,164.35",2024-06-30,Active,Manager 1
F0044_01,Default,Critical,"Facility F0044_01 has defaulted (Rating 17) - SIR: $2,945,863.72",2023-12-31,Active,Manager 1
F0044_01,Default,Critical,"Facility F0044_01 has defaulted (Rating 17) - SIR: $3,509,088.82",2024-03-31,Active,Manager 2
F0050_03,Default,Critical,"Facility F0050_03 has defaulted (Rating 17) - SIR: $434,514.31",2022-06-30,Active,Manager 2
F0050_03,Default,Critical,"Facility F0050_03 has defaulted (Rating 17) - SIR: $759,938.20",2022-09-30,Active,Manager 1
F0054_02,Default,Critical,"Facility F0054_02 has defaulted (Rating 17) - SIR: $3,660,493.70",2025-09-30,Active,Manager 1
F0073_02,Default,Critical,"Facility F0073_02 has defaulted (Rating 17) - SIR: $2,831,039.59",2023-09-30,Active,Manager 1
F0073_02,Default,Critical,"Facility F0073_02 has defaulted (Rating 17) - SIR: $2,972,609.84",2023-12-31,Active,Manager 2
F0079_03,Default,Critical,"Facility F0079_03 has defaulted (Rating 17) - SIR: $2,312,742.15",2024-06-30,Active,Manager 2
F0079_03,Default,Critical,"Facility F0079_03 has defaulted (Rating 17) - SIR: $2,064,988.62",2024-09-30,Active,Manager 1
F0088_02,Default,Critical,"Facility F0088_02 has defaulted (Rating 17) - SIR: $5,711,101.49",2022-03-31,Active,Manager 2
