facility_id,lob,covenant_type,current_value,covenant_limit,status,reporting_date
F0001_01,Corporate Banking,Fixed Charge Coverage,3.05,1.25,Compliant,2021-03-31
F0001_01,Corporate Banking,Cash Flow Leverage,5.15,4.0,Violation,2021-03-31
F0001_01,Corporate Banking,Liquidity,2.55,1.0,Compliant,2021-03-31
F0001_01,Corporate Banking,Fixed Charge Coverage,3.65,1.25,Compliant,2021-06-30
F0001_01,Corporate Banking,Cash Flow Leverage,6.36,4.0,Violation,2021-06-30
F0001_01,Corporate Banking,Liquidity,2.47,1.0,Compliant,2021-06-30
F0001_01,Corporate Banking,Fixed Charge Coverage,3.33,1.25,Compliant,2021-09-30
F0001_01,Corporate Banking,Cash Flow Leverage,5.58,4.0,Violation,2021-09-30
F0001_01,Corporate Banking,Liquidity,2.51,1.0,Compliant,2021-09-30
F0001_01,Corporate Banking,Fixed Charge Coverage,3.06,1.25,Compliant,2021-12-31
F0001_01,Corporate Banking,Cash Flow Leverage,5.21,4.0,Violation,2021-12-31
F0001_01,Corporate Banking,Liquidity,2.45,1.0,Compliant,2021-12-31
F0001_01,Corporate Banking,Fixed Charge Coverage,3.33,1.25,Compliant,2022-03-31
F0001_01,Corporate Banking,Cash Flow Leverage,5.43,4.0,Violation,2022-03-31
F0001_01,Corporate Banking,Liquidity,2.08,1.0,Compliant,2022-03-31
F0001_01,Corporate Banking,Fixed Charge Coverage,3.41,1.25,Compliant,2022-06-30
F0001_01,Corporate Banking,Cash Flow Leverage,5.58,4.0,Violation,2022-06-30
F0001_01,Corporate Banking,Liquidity,2.11,1.0,Compliant,2022-06-30
F0001_01,Corporate Banking,Fixed Charge Coverage,3.72,1.25,Compliant,2022-09-30
F0001_01,Corporate Banking,Cash Flow Leverage,5.74,4.0,Violation,2022-09-30
F0001_01,Corporate Banking,Liquidity,2.7,1.0,Compliant,2022-09-30
F0001_01,Corporate Banking,Fixed Charge Coverage,3.25,1.25,Compliant,2022-12-31
F0001_01,Corporate Banking,Cash Flow Leverage,5.75,4.0,Violation,2022-12-31
F0001_01,Corporate Banking,Liquidity,2.62,1.0,Compliant,2022-12-31
F0001_01,Corporate Banking,Fixed Charge Coverage,3.7,1.25,Compliant,2023-03-31
F0001_01,Corporate Banking,Cash Flow Leverage,5.5,4.0,Violation,2023-03-31
F0001_01,Corporate Banking,Liquidity,2.42,1.0,Compliant,2023-03-31
F0001_01,Corporate Banking,Fixed Charge Coverage,3.39,1.25,Compliant,2023-06-30
F0001_01,Corporate Banking,Cash Flow Leverage,5.6,4.0,Violation,2023-06-30
F0001_01,Corporate Banking,Liquidity,2.25,1.0,Compliant,2023-06-30
F0001_01,Corporate Banking,Fixed Charge Coverage,3.01,1.25,Compliant,2023-09-30
F0001_01,Corporate Banking,Cash Flow Leverage,6.17,4.0,Violation,2023-09-30
F0001_01,Corporate Banking,Liquidity,2.6,1.0,Compliant,2023-09-30
F0001_01,Corporate Banking,Fixed Charge Coverage,3.74,1.25,Compliant,2023-12-31
F0001_01,Corporate Banking,Cash Flow Leverage,6.01,4.0,Violation,2023-12-31
F0001_01,Corporate Banking,Liquidity,2.25,1.0,Compliant,2023-12-31
F0001_01,Corporate Banking,Fixed Charge Coverage,4.03,1.25,Compliant,2024-03-31
F0001_01,Corporate Banking,Cash Flow Leverage,5.44,4.0,Violation,2024-03-31
F0001_01,Corporate Banking,Liquidity,2.23,1.0,Compliant,2024-03-31
F0001_01,Corporate Banking,Fixed Charge Coverage,3.66,1.25,Compliant,2024-06-30
F0001_01,Corporate Banking,Cash Flow Leverage,6.02,4.0,Violation,2024-06-30
F0001_01,Corporate Banking,Liquidity,2.28,1.0,Compliant,2024-06-30
F0001_01,Corporate Banking,Fixed Charge Coverage,3.52,1.25,Compliant,2024-09-30
F0001_01,Corporate Banking,Cash Flow Leverage,5.5,4.0,Violation,2024-09-30
F0001_01,Corporate Banking,Liquidity,2.3,1.0,Compliant,2024-09-30
F0001_01,Corporate Banking,Fixed Charge Coverage,3.59,1.25,Compliant,2024-12-31
F0001_01,Corporate Banking,Cash Flow Leverage,5.68,4.0,Violation,2024-12-31
F0001_01,Corporate Banking,Liquidity,2.76,1.0,Compliant,2024-12-31
F0001_01,Corporate Banking,Fixed Charge Coverage,3.63,1.25,Compliant,2025-03-31
F0001_01,Corporate Banking,Cash Flow Leverage,6.13,4.0,Violation,2025-03-31
F0001_01,Corporate Banking,Liquidity,2.31,1.0,Compliant,2025-03-31
F0001_01,Corporate Banking,Fixed Charge Coverage,3.03,1.25,Compliant,2025-06-30
F0001_01,Corporate Banking,Cash Flow Leverage,6.39,4.0,Violation,2025-06-30
F0001_01,Corporate Banking,Liquidity,2.56,1.0,Compliant,2025-06-30
F0001_01,Corporate Banking,Fixed Charge Coverage,3.9,1.25,Compliant,2025-09-30
F0001_01,Corporate Banking,Cash Flow Leverage,5.61,4.0,Violation,2025-09-30
F0001_01,Corporate Banking,Liquidity,2.53,1.0,Compliant,2025-09-30
F0001_02,Corporate Banking,Fixed Charge Coverage,4.16,1.25,Compliant,2021-03-31
F0001_02,Corporate Banking,Cash Flow Leverage,4.53,4.0,Violation,2021-03-31
F0001_02,Corporate Banking,Liquidity,1.34,1.0,Compliant,2021-03-31
F0001_02,Corporate Banking,Fixed Charge Coverage,3.95,1.25,Compliant,2021-06-30
F0001_02,Corporate Banking,Cash Flow Leverage,4.53,4.0,Violation,2021-06-30
F0001_02,Corporate Banking,Liquidity,1.15,1.0,Compliant,2021-06-30
F0001_02,Corporate Banking,Fixed Charge Coverage,3.98,1.25,Compliant,2021-09-30
F0001_02,Corporate Banking,Cash Flow Leverage,4.37,4.0,Violation,2021-09-30
F0001_02,Corporate Banking,Liquidity,1.54,1.0,Compliant,2021-09-30
F0001_02,Corporate Banking,Fixed Charge Coverage,3.33,1.25,Compliant,2021-12-31
F0001_02,Corporate Banking,Cash Flow Leverage,4.42,4.0,Violation,2021-12-31
F0001_02,Corporate Banking,Liquidity,1.23,1.0,Compliant,2021-12-31
F0001_02,Corporate Banking,Fixed Charge Coverage,3.24,1.25,Compliant,2022-03-31
F0001_02,Corporate Banking,Cash Flow Leverage,4.03,4.0,Violation,2022-03-31
F0001_02,Corporate Banking,Liquidity,1.14,1.0,Compliant,2022-03-31
F0001_02,Corporate Banking,Fixed Charge Coverage,3.74,1.25,Compliant,2022-06-30
F0001_02,Corporate Banking,Cash Flow Leverage,4.22,4.0,Violation,2022-06-30
F0001_02,Corporate Banking,Liquidity,1.02,1.0,Compliant,2022-06-30
F0001_02,Corporate Banking,Fixed Charge Coverage,3.91,1.25,Compliant,2022-09-30
F0001_02,Corporate Banking,Cash Flow Leverage,4.27,4.0,Violation,2022-09-30
F0001_02,Corporate Banking,Liquidity,1.11,1.0,Compliant,2022-09-30
