facility_id,obligor_name,obligor_rating,balance,origination_date,maturity_date,reporting_date,lob,industry,free_cash_flow,fixed_charge_coverage,cash_flow_leverage,liquidity,profitability,growth,sir,cre_property_type,msa,noi,property_value,dscr,ltv
F0001_01,Corporation Systems Inc,10,2871491.8,2021-03-08,2026-04-03,2021-03-31,Corporate Banking,Technology,0.69,3.05,5.15,2.55,0.102,0.041,,,,,,,
F0001_01,Corporation Systems Inc,10,3824560.0,2021-03-08,2026-04-03,2021-06-30,Corporate Banking,Technology,0.75,3.65,6.36,2.47,0.152,0.078,,,,,,,
F0001_01,Corporation Systems Inc,10,3540363.82,2021-03-08,2026-04-03,2021-09-30,Corporate Banking,Technology,0.74,3.33,5.58,2.51,0.097,-0.08,,,,,,,
F0001_01,Corporation Systems Inc,10,3282939.28,2021-03-08,2026-04-03,2021-12-31,Corporate Banking,Technology,0.49,3.06,5.21,2.45,0.157,0.05,,,,,,,
F0001_01,Corporation Systems Inc,9,3748282.44,2021-03-08,2026-04-03,2022-03-31,Corporate Banking,Technology,0.9,3.33,5.43,2.08,0.136,-0.012,,,,,,,
F0001_01,Corporation Systems Inc,9,3166896.66,2021-03-08,2026-04-03,2022-06-30,Corporate Banking,Technology,0.79,3.41,5.58,2.11,0.14,-0.039,,,,,,,
F0001_01,Corporation Systems Inc,9,2891614.19,2021-03-08,2026-04-03,2022-09-30,Corporate Banking,Technology,0.85,3.72,5.74,2.7,0.128,-0.077,,,,,,,
F0001_01,Corporation Systems Inc,9,4023419.27,2021-03-08,2026-04-03,2022-12-31,Corporate Banking,Technology,0.63,3.25,5.75,2.62,0.188,-0.003,,,,,,,
F0001_01,Corporation Systems Inc,7,3765403.27,2021-03-08,2026-04-03,2023-03-31,Corporate Banking,Technology,0.8,3.7,5.5,2.42,0.166,-0.009,,,,,,,
F0001_01,Corporation Systems Inc,7,3519081.58,2021-03-08,2026-04-03,2023-06-30,Corporate Banking,Technology,1.22,3.39,5.6,2.25,0.145,-0.015,,,,,,,
F0001_01,Corporation Systems Inc,7,3809267.01,2021-03-08,2026-04-03,2023-09-30,Corporate Banking,Technology,0.6,3.01,6.17,2.6,0.147,-0.062,,,,,,,
F0001_01,Corporation Systems Inc,7,3393345.04,2021-03-08,2026-04-03,2023-12-31,Corporate Banking,Technology,0.98,3.74,6.01,2.25,0.145,-0.081,,,,,,,
F0001_01,Corporation Systems Inc,7,3761615.37,2021-03-08,2026-04-03,2024-03-31,Corporate Banking,Technology,0.79,4.03,5.44,2.23,0.14,-0.012,,,,,,,
F0001_01,Corporation Systems Inc,8,3418097.18,2021-03-08,2026-04-03,2024-06-30,Corporate Banking,Technology,0.93,3.66,6.02,2.28,0.127,0.019,,,,,,,
F0001_01,Corporation Systems Inc,8,3159500.33,2021-03-08,2026-04-03,2024-09-30,Corporate Banking,Technology,1.09,3.52,5.5,2.3,0.115,-0.005,,,,,,,
F0001_01,Corporation Systems Inc,8,3792918.46,2021-03-08,2026-04-03,2024-12-31,Corporate Banking,Technology,0.84,3.59,5.68,2.76,0.128,-0.037,,,,,,,
F0001_01,Corporation Systems Inc,8,3634345.66,2021-03-08,2026-04-03,2025-03-31,Corporate Banking,Technology,0.68,3.63,6.13,2.31,0.139,-0.054,,,,,,,
F0001_01,Corporation Systems Inc,9,3297566.63,2021-03-08,2026-04-03,2025-06-30,Corporate Banking,Technology,0.95,3.03,6.39,2.56,0.161,-0.045,,,,,,,
F0001_01,Corporation Systems Inc,9,3492203.3,2021-03-08,2026-04-03,2025-09-30,Corporate Banking,Technology,0.88,3.9,5.61,2.53,0.153,-0.024,,,,,,,
F0001_02,Corporation Systems Inc,13,750719.68,2021-02-07,2023-04-28,2021-03-31,Corporate Banking,Technology,2.34,4.16,4.53,1.34,0.182,0.163,,,,,,,
F0001_02,Corporation Systems Inc,12,832133.07,2021-02-07,2023-04-28,2021-06-30,Corporate Banking,Technology,2.43,3.95,4.53,1.15,0.18,0.232,,,,,,,
F0001_02,Corporation Systems Inc,12,869842.46,2021-02-07,2023-04-28,2021-09-30,Corporate Banking,Technology,2.56,3.98,4.37,1.54,0.186,0.099,,,,,,,
F0001_02,Corporation Systems Inc,12,883734.88,2021-02-07,2023-04-28,2021-12-31,Corporate Banking,Technology,2.34,3.33,4.42,1.23,0.166,0.115,,,,,,,
F0001_02,Corporation Systems Inc,12,881193.02,2021-02-07,2023-04-28,2022-03-31,Corporate Banking,Technology,2.58,3.24,4.03,1.14,0.137,0.209,,,,,,,
F0001_02,Corporation Systems Inc,12,1016881.4,2021-02-07,2023-04-28,2022-06-30,Corporate Banking,Technology,2.5,3.74,4.22,1.02,0.131,0.047,,,,,,,
F0001_02,Corporation Systems Inc,12,716396.95,2021-02-07,2023-04-28,2022-09-30,Corporate Banking,Technology,2.34,3.91,4.27,1.11,0.108,0.158,,,,,,,
F0001_02,Corporation Systems Inc,12,871938.6,2021-02-07,2023-04-28,2022-12-31,Corporate Banking,Technology,2.32,3.26,5.15,1.33,0.133,0.068,,,,,,,
F0001_02,Corporation Systems Inc,12,763214.65,2021-02-07,2023-04-28,2023-03-31,Corporate Banking,Technology,2.57,3.91,4.13,1.77,0.144,0.092,,,,,,,
F0001_02,Corporation Systems Inc,12,707002.48,2021-02-07,2023-04-28,2023-06-30,Corporate Banking,Technology,2.1,3.8,4.65,1.03,0.201,0.147,,,,,,,
F0001_02,Corporation Systems Inc,12,972086.71,2021-02-07,2023-04-28,2023-09-30,Corporate Banking,Technology,2.48,2.86,5.04,0.96,0.171,0.06,,,,,,,
